ts_close_iso,timeframe,symbol,btc_symbol,close_alt,close_btc,ratio,z,z_window,dp6h,dp12h,atr_ratio,qv_24h,vol_surge_mult,mom,breadth,universe_n,top_n,in_cands,pairs_signal
2025-08-12 12:48:00 UTC,1h,ARKM-USDT,BTC-USDT,0.5214,118947.9,4.383431738e-06,,30,0.0353455,0.022754,0.0155488,2.68224e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ARPA-USDT,BTC-USDT,0.02263,118947.9,1.902513622e-07,,30,0.0249094,0.00891663,0.0129411,8.11508e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ASP-USDT,BTC-USDT,0.1689,118947.9,1.419949406e-06,,30,-0.0242634,0.00475907,0.0426711,6.92297e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ASR-USDT,BTC-USDT,6.621,118947.9,5.566302558e-05,,30,-0.00794126,-0.0220089,0.0185988,8.0461e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ASTR-USDT,BTC-USDT,0.02501,118947.9,2.102601223e-07,,30,0.0208163,0.0129607,0.0110813,1.99004e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ATA-USDT,BTC-USDT,0.0498,118947.9,4.186706953e-07,,30,0.033195,0.0310559,0.0140562,308157,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ATH-USDT,BTC-USDT,0.03389,118947.9,2.849146559e-07,,30,-0.00615836,-0.0196702,0.0120137,2.41269e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ATOM-USDT,BTC-USDT,4.595,118947.9,3.863035833e-05,,30,0.0242978,0.018847,0.00969998,8.31096e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,AUCTION-USDT,BTC-USDT,10.254,118947.9,8.620580943e-05,,30,0.0126407,0.00637943,0.0115983,4.60548e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,AVA-USDT,BTC-USDT,0.5916,118947.9,4.973606091e-06,,30,0.0205279,0.0121471,0.0136917,507828,0,0,0.556818,465,4,0,HOLD
