ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T13:35:50,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0|130.0|10.0,-2.334384,0.642421,-1.016925,-0.217715,115,28.337056159973145,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0_130p0_10p0.yaml
2025-08-24T13:36:18,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0|130.0|12.0,-2.334384,0.642421,-1.016925,-0.217715,115,27.836025953292847,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0_130p0_12p0.yaml
2025-08-24T13:36:47,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0|140.0|8.0,-3.614109,0.656462,-1.025661,-0.207392,113,28.63778591156006,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0_140p0_8p0.yaml
2025-08-24T13:37:13,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0|140.0|10.0,-3.614109,0.656462,-1.025661,-0.207392,113,26.284700393676758,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0_140p0_10p0.yaml
2025-08-24T13:37:39,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0|140.0|12.0,-3.614109,0.656462,-1.025661,-0.207392,113,26.140427827835083,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0_140p0_12p0.yaml
2025-08-24T13:38:06,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|120.0|8.0,7.729128,0.658819,-0.958983,-0.205677,120,26.505349159240723,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_120p0_8p0.yaml
2025-08-24T13:38:31,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|120.0|10.0,7.729128,0.658819,-0.958983,-0.205677,120,25.45212960243225,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_120p0_10p0.yaml
2025-08-24T13:38:57,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|120.0|12.0,7.729128,0.658819,-0.958983,-0.205677,120,25.78071403503418,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_120p0_12p0.yaml
2025-08-24T13:39:24,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|130.0|8.0,-2.334384,0.642421,-1.016925,-0.217715,115,27.544978380203247,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_130p0_8p0.yaml
2025-08-24T13:39:49,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|130.0|10.0,-2.334384,0.642421,-1.016925,-0.217715,115,24.628371000289917,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_130p0_10p0.yaml
2025-08-24T13:40:16,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|130.0|12.0,-2.334384,0.642421,-1.016925,-0.217715,115,27.2047221660614,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_130p0_12p0.yaml
2025-08-24T13:40:43,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|140.0|8.0,-3.614109,0.656462,-1.025661,-0.207392,113,27.124929666519165,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_140p0_8p0.yaml
2025-08-24T13:41:11,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|140.0|10.0,-3.614109,0.656462,-1.025661,-0.207392,113,27.61302638053894,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_140p0_10p0.yaml
2025-08-24T13:41:35,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.02|0.001|0.0002|140.0|12.0,-3.614109,0.656462,-1.025661,-0.207392,113,24.266635417938232,tune_tmp/t2880_s8_grid_grid_3p73_1p02_0p001_0p0002_140p0_12p0.yaml
2025-08-24T13:41:59,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|120.0|8.0,125.691725,1.111464,-0.284083,0.05279,124,23.765958070755005,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_120p0_8p0.yaml
2025-08-24T13:42:27,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|120.0|10.0,125.691725,1.111464,-0.284083,0.05279,124,27.581697702407837,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_120p0_10p0.yaml
2025-08-24T13:42:51,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|120.0|12.0,125.691725,1.111464,-0.284083,0.05279,124,24.05322813987732,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_120p0_12p0.yaml
2025-08-24T13:43:18,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|130.0|8.0,127.832702,1.111464,-0.297821,0.05279,124,27.474746704101562,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_130p0_8p0.yaml
2025-08-24T13:43:45,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|130.0|10.0,127.832702,1.111464,-0.297821,0.05279,124,26.889565467834473,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_130p0_10p0.yaml
2025-08-24T13:44:13,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|130.0|12.0,127.832702,1.111464,-0.297821,0.05279,124,27.69485831260681,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_130p0_12p0.yaml
2025-08-24T13:44:39,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|140.0|8.0,129.97368,1.111464,-0.310699,0.05279,124,26.53829050064087,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_140p0_8p0.yaml
2025-08-24T13:45:10,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|140.0|10.0,129.97368,1.111464,-0.310699,0.05279,124,30.359123468399048,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_140p0_10p0.yaml
2025-08-24T13:45:39,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0|140.0|12.0,129.97368,1.111464,-0.310699,0.05279,124,29.738927602767944,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0_140p0_12p0.yaml
