event,iso,notional,pnl,price,qty,ts
FIRST,2026-03-01T02:46:00Z,89.67258896287049,,31.179,2.876057248881314,1772333160000
DCA,2026-03-01T02:48:00Z,89.24980854728494,,31.032,2.876057248881314,1772333280000
DCA,2026-03-01T02:58:00Z,133.6331240120214,,30.976,4.314085873321972,1772333880000
DCA,2026-03-01T03:50:00Z,242.85067902397705,,30.705,7.909157434423614,1772337000000
FULL_CLOSE_TRAIL,2026-03-01T05:22:00Z,,3.7532547097901245,31.107,17.975357805508214,1772342520000
FIRST,2026-03-01T05:24:00Z,90.18394446397274,,31.113,2.8985936574413507,1772342640000
FULL_CLOSE_TRAIL,2026-03-01T05:50:00Z,,0.7594315382496352,31.375,2.8985936574413507,1772344200000
FIRST,2026-03-01T05:52:00Z,90.29096332445538,,31.329,2.8820250670131626,1772344320000
DCA,2026-03-01T05:54:00Z,90.06328334416133,,31.25,2.8820250670131626,1772344440000
DCA,2026-03-01T06:04:00Z,134.29084002254532,,31.064,4.3230376005197435,1772345040000
DCA,2026-03-01T06:08:00Z,245.03481474132636,,30.917,7.925568934286197,1772345280000
FULL_CLOSE_TRAIL,2026-03-01T15:16:00Z,,4.062214331955048,31.297,18.012656668832264,1772378160000
FIRST,2026-03-01T15:18:00Z,90.85104385619245,,31.222,2.9098406205942107,1772378280000
FULL_CLOSE_TRAIL,2026-03-01T16:02:00Z,,1.5218466445707712,31.745,2.9098406205942107,1772380920000
FIRST,2026-03-01T16:04:00Z,91.07988140457523,,31.787,2.8653185706287236,1772381040000
DCA,2026-03-01T16:12:00Z,90.19449796625096,,31.478,2.8653185706287236,1772381520000
DCA,2026-03-01T16:12:00Z,135.29174694937646,,31.478,4.297977855943086,1772381520000
DCA,2026-03-01T16:14:00Z,247.56997146910564,,31.419,7.87962606922899,1772381640000
FULL_CLOSE_TRAIL,2026-03-01T16:36:00Z,,3.250703918378272,31.683,17.90824106642952,1772382960000
FIRST,2026-03-01T16:38:00Z,91.50947219955599,,31.687,2.8879184586598914,1772383080000
DCA,2026-03-01T16:46:00Z,90.98098312162122,,31.504,2.8879184586598914,1772383560000
DCA,2026-03-01T16:48:00Z,135.2022345198508,,31.211,4.331877687989837,1772383680000
DCA,2026-03-01T16:48:00Z,247.87076328639316,,31.211,7.941775761314702,1772383680000
FULL_CLOSE_TRAIL,2026-03-01T18:18:00Z,,3.12183985381138,31.507,18.049490366624322,1772389080000
FIRST,2026-03-01T18:20:00Z,91.91822667647713,,31.503,2.917761060104661,1772389200000
DCA,2026-03-01T18:22:00Z,91.5826841545651,,31.388,2.917761060104661,1772389320000
FULL_CLOSE_TRAIL,2026-03-01T18:38:00Z,,1.0824893532988253,31.631,5.835522120209322,1772390280000
FIRST,2026-03-01T18:40:00Z,92.06197822812372,,31.614,2.9120635866427445,1772390400000
FULL_CLOSE_TRAIL,2026-03-01T19:22:00Z,,0.5474679542888325,31.802,2.9120635866427445,1772392920000
FIRST,2026-03-01T19:24:00Z,92.13479938685707,,31.822,2.895317685464681,1772393040000
DCA,2026-03-01T19:26:00Z,91.76709404080306,,31.695,2.895317685464681,1772393160000
DCA,2026-03-01T19:44:00Z,137.17291364310293,,31.585,4.342976528197021,1772394240000
DCA,2026-03-01T20:10:00Z,250.22565947802093,,31.427,7.962123635027872,1772395800000
FULL_CLOSE_TRAIL,2026-03-01T22:04:00Z,,3.4200940159551836,31.76,18.095735534154255,1772402640000
FIRST,2026-03-01T22:06:00Z,92.59033274724082,,31.843,2.907713869523626,1772402760000
DCA,2026-03-01T22:08:00Z,92.3170076435056,,31.749,2.907713869523626,1772402880000
DCA,2026-03-01T22:36:00Z,137.78202170737703,,31.59,4.3615708042854395,1772404560000
DCA,2026-03-01T22:56:00Z,251.58485406126007,,31.463,7.996213141189972,1772405760000
FULL_CLOSE_TRAIL,2026-03-01T23:10:00Z,,7.123172051865516,31.992,18.173211684522663,1772406600000
FIRST,2026-03-01T23:12:00Z,93.63758654718966,,32.131,2.914244391621476,1772406720000
DCA,2026-03-01T23:14:00Z,93.34324786363588,,32.03,2.914244391621476,1772406840000
DCA,2026-03-01T23:16:00Z,139.12748437820508,,31.827,4.371366587432214,1772406960000
DCA,2026-03-01T23:30:00Z,254.18549576491048,,31.717,8.01417207695906,1772407800000
