ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-25T06:08:09,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.1|350000.0|10000.0|0.8,100.0,0.0,0.0,0.0,0,9.935415506362915,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p1_350000p0_10000p0_0p8.yaml
2025-08-25T06:08:19,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.1|350000.0|10000.0|0.85,100.0,0.0,0.0,0.0,0,9.672630310058594,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p1_350000p0_10000p0_0p85.yaml
2025-08-25T06:08:29,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.1|350000.0|15000.0|0.75,100.0,0.0,0.0,0.0,0,9.922014236450195,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p1_350000p0_15000p0_0p75.yaml
2025-08-25T06:08:37,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.1|350000.0|15000.0|0.8,100.0,0.0,0.0,0.0,0,8.863046884536743,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p1_350000p0_15000p0_0p8.yaml
2025-08-25T06:08:47,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.1|350000.0|15000.0|0.85,100.0,0.0,0.0,0.0,0,9.44627833366394,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p1_350000p0_15000p0_0p85.yaml
2025-08-25T06:08:56,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.2|50000.0|5000.0|0.75,100.0,0.0,0.0,0.0,0,9.568782329559326,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p2_50000p0_5000p0_0p75.yaml
2025-08-25T06:09:07,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.2|50000.0|5000.0|0.8,100.0,0.0,0.0,0.0,0,10.307177066802979,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p2_50000p0_5000p0_0p8.yaml
2025-08-25T06:09:18,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.2|50000.0|5000.0|0.85,100.0,0.0,0.0,0.0,0,10.795899152755737,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p2_50000p0_5000p0_0p85.yaml
2025-08-25T06:09:29,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.2|50000.0|10000.0|0.75,100.0,0.0,0.0,0.0,0,11.411266088485718,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p2_50000p0_10000p0_0p75.yaml
2025-08-25T06:09:40,tp|sl|min-mom|min-atr|top-n|strategy_params.min_vol_surge_mult|strategy_params.min_qv_24h|strategy_params.min_qv_1h|open_heat_min,3.75|1.1|0.021|0.0|12.0|0.2|50000.0|10000.0|0.8,100.0,0.0,0.0,0.0,0,11.04568362236023,tune_tmp/t5m2880_cs_s12_grid_grid_3p75_1p1_0p021_0p0_12p0_0p2_50000p0_10000p0_0p8.yaml
