id,symbol,lead_side,side,lead_opened_utc,entry_utc,exit_utc,hold_h,entry,exit,avg_entry,notional,dca_fills,gross_ret_pct,net_ret_pct,pnl,ret_on_100usdt_pct,lead_avg_cost,lead_avg_close,lead_pnl,lead_roi,candles,fills_json
1772527974624,ETHUSDT,LONG,SHORT,2026-03-03T08:52:54.624000Z,2026-03-04T09:14:44.989000Z,2026-03-07T09:14:00Z,71.98750305555555,2068.93,1982.77,2068.93,100.0,0,4.164471490093907,3.876866891780853,3.876866891780853,3.8768668917808524,1953.0,2068.93,2318.71593,0.58803333,4320,[]
1772615768941,ETHUSDT,SHORT,LONG,2026-03-04T09:16:08.941000Z,2026-03-06T13:37:04.176000Z,2026-03-09T13:37:00Z,71.99884,2063.87876278,2011.43,2063.87876278,100.0,0,-2.541271499366213,-2.828876097679266,-2.828876097679266,-2.828876097679266,2081.18896694,2063.87876278,14885.78889794,0.07739103,4320,[]
1773063180085,ETHUSDT,SHORT,LONG,2026-03-09T13:33:00.085000Z,2026-03-10T14:17:23.645000Z,2026-03-13T14:17:00Z,71.99343194444444,2015.43,2187.04,2015.43,100.0,0,8.514808254317932,8.22720365600488,8.22720365600488,8.22720365600488,2041.25414412,2015.43,3016.05344004,0.12310633,4320,[]
1773153693242,ETHUSDT,SHORT,LONG,2026-03-10T14:41:33.242000Z,2026-03-11T08:39:00.162000Z,2026-03-14T08:39:00Z,71.999955,2018.54,2074.28,2018.54,100.0,0,2.7614018052652036,2.4737972069521503,2.4737972069521503,2.4737972069521503,2063.32827748,2018.54,9505.64006976,0.21333459,4320,[]
1773239787617,ETHUSDT,SHORT,LONG,2026-03-11T14:36:27.617000Z,2026-03-13T15:00:27.990000Z,2026-03-16T15:00:00Z,71.992225,2149.77091185,2284.09,2149.77091185,100.0,0,6.24806519660324,5.960460598290187,5.960460598290187,5.960460598290187,2175.6954483,2149.77091185,30126.51493682,0.11097151,4320,[]
1773634399608,ETHUSDT,SHORT,LONG,2026-03-16T04:13:19.608000Z,2026-03-18T11:38:31.164000Z,2026-03-21T11:38:00Z,71.99134333333333,2265.75,2155.56,2265.75,100.0,0,-4.863290301224763,-5.150894899537816,-5.150894899537816,-5.150894899537816,2323.16712618,2265.75,55204.95914294,0.24255376,4320,[]
1773838996406,ETHUSDT,LONG,SHORT,2026-03-18T13:03:16.406000Z,2026-03-18T18:00:41.788000Z,2026-03-21T18:00:00Z,71.98839222222222,2212.22,2147.1,2212.22,100.0,0,2.943649365795441,2.6560447674823875,2.6560447674823875,2.6560447674823875,2172.8352057,2212.22,1055.94571997,0.17456458,4320,[]
1773930178247,ETHUSDT,LONG,SHORT,2026-03-19T14:22:58.247000Z,2026-03-20T04:27:59.623000Z,2026-03-23T04:27:00Z,71.98343805555555,2152.55,2054.29,2152.55,100.0,0,4.564818471115664,4.27721387280261,4.27721387280261,4.27721387280261,2117.04,2152.55,1684.84297,0.16133473,4320,[]
1774264797217,BTCUSDT,SHORT,LONG,2026-03-23T11:19:57.217000Z,2026-03-23T11:51:27.445000Z,2026-03-26T11:51:00Z,71.99237638888889,70248.3,69318.2,70248.3,100.0,0,-1.3240178054130929,-1.611622403726146,-1.611622403726146,-1.611622403726146,70726.4807334,70248.3,5594.23639982,0.06402202,4320,[]
1774273967041,ETHUSDT,SHORT,LONG,2026-03-23T13:52:47.041000Z,2026-03-23T16:25:14.591000Z,2026-03-26T16:25:00Z,71.99594694444444,2124.3,2067.24,2124.3,100.0,0,-2.6860612907781576,-2.973665889091211,-2.973665889091211,-2.973665889091211,2185.6928438,2124.3,2845.12855995,0.27632325,4320,[]
