variant,params,start_iso,end_iso,equity_start,equity_end,net_pct,max_dd_pct,min_total_pnl_pct,orders,first_buys,restart_buys,dca_buys,full_tp_closes,sub_sells,open_position_cost,open_position_qty,commission_paid,notes
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 0.8, ""freshness_ms"": 21600000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1049.5568502071608,109.91137004143216,-20.21664743184396,-6.4108244131318814,675,186,0,304,185,0,1065.8353019178019,17.298982706748326,79.08130895906558,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 0.8, ""freshness_ms"": 21600000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1040.881991504278,108.1763983008556,-19.89980361913617,-6.516551436914439,666,183,0,301,182,0,1057.0258976031557,17.156002142470143,77.52632160524824,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 1.0, ""freshness_ms"": 21600000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1071.0672260268977,114.21344520537953,-20.21664743184395,-6.527465416628194,669,183,0,304,182,0,1081.486576397125,17.67192680148248,79.53058480433815,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 1.0, ""freshness_ms"": 21600000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1088.604066725286,117.72081334505717,-19.71213640676789,-6.633351443112623,667,181,0,306,180,0,1099.1940156192877,17.961273499449128,80.20698006764762,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 1.2, ""freshness_ms"": 21600000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1068.7873311414253,113.75746622828507,-19.712136406767875,-6.527465416628194,665,181,0,304,180,0,1079.184502676336,17.634309988501847,78.70781450013952,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 1.2, ""freshness_ms"": 21600000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1073.5801816036424,114.71603632072846,-19.71213640676789,-6.389657769347726,653,178,0,298,177,0,1084.0239780254178,17.71338896737504,77.30792755552378,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 0.8, ""freshness_ms"": 86400000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1070.3500697001125,114.07001394002249,-20.21664743184394,-4.8766829604153035,612,166,0,281,165,0,1086.9510207773749,17.64170024925705,73.08693828883642,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 0.8, ""freshness_ms"": 86400000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1057.072677123428,111.4145354246856,-19.899803619136158,-5.184912122359138,589,159,0,272,158,0,1073.4676980561158,17.42285990294381,69.58309973499149,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 1.0, ""freshness_ms"": 86400000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1072.2849412526557,114.45698825053113,-20.21664743184394,-5.662813470107123,555,148,0,260,147,0,1084.1763451459233,17.692392156722622,67.12160769597878,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 1.0, ""freshness_ms"": 86400000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1077.7191673469183,115.54383346938369,-19.712136406767875,-6.5648808014284,555,148,0,260,147,0,1091.949756778375,17.77684405438752,66.65259834006062,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 1.2, ""freshness_ms"": 86400000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1090.6734148618443,118.13468297236884,-19.712136406767875,-5.662813470107123,535,143,0,250,142,0,1102.7687428785,17.995796665861064,65.327664031912,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 1.2, ""freshness_ms"": 86400000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1099.5448425578368,119.90896851156734,-19.712136406767875,-5.800997149085703,529,141,0,248,140,0,1114.0636260127471,18.136855861138017,64.78233220267295,Uses alternate TP/trailing only while signal is active/recent.
