idx,name,risk_ratio,custom,total_pnl_mtm_eval,realized_pnl_total,unrealized_pnl_total,return_mtm_pct_on_start,mdd_mtm_%,mdd_realized_%,trades_total,trades_long,trades_short,total_order_events,margin_call_events_total,elapsed_sec,mods,error,abs_mdd,abs_unr,tail_ratio
14,expo_l2.6_s1.2,5.360488033555494,5.1949311993496,82.55998808564209,136.10613330010065,-53.54614521445856,41.279994042821045,-15.40158052192906,-4.267689347221404,7742,2766,4976,15291,0,3.846815586090088,"{""strategy_params_long.maxLongInvestPct"": 2.6, ""strategy_params_short.maxShortInvestPct"": 1.2}",,15.40158052192906,53.54614521445856,0.6485725889266536
13,expo_l2.6_s1.0,5.158820233718418,4.983462837759706,80.56868759899513,134.1114963467046,-53.54280874770947,40.28434379949756,-15.6176575164206,-3.5662736096232,7714,2766,4948,15180,0,4.136453866958618,"{""strategy_params_long.maxLongInvestPct"": 2.6, ""strategy_params_short.maxShortInvestPct"": 1.0}",,15.6176575164206,53.54280874770947,0.664561014251612
1,expo_l2_s1.5,4.981163066003284,4.884068450944014,88.70323282369415,127.51759837271683,-38.8143655490227,44.35161641184707,-17.80773519122445,-4.854730752963503,7748,2898,4850,15259,0,3.943243741989136,"{""strategy_params_long.maxLongInvestPct"": 2, ""strategy_params_short.maxShortInvestPct"": 1.5}",,17.80773519122445,38.8143655490227,0.4375755461604182
0,start,4.981163066003284,4.884068450944014,88.70323282369415,127.51759837271683,-38.8143655490227,44.35161641184707,-17.80773519122445,-4.854730752963503,7748,2898,4850,15259,0,3.9559311866760254,{},,17.80773519122445,38.8143655490227,0.4375755461604182
2,expo_l1.8_s1.2,4.942111880010635,4.853679770494276,80.0462743594657,124.38068385283654,-44.33440949337084,40.02313717973285,-16.196775043322866,-4.421605475817927,7887,2911,4976,15576,0,3.967485427856445,"{""strategy_params_long.maxLongInvestPct"": 1.8, ""strategy_params_short.maxShortInvestPct"": 1.2}",,16.196775043322866,44.33440949337084,0.5538597498526572
18,tp_current_s0.245_l0.33,4.858880883071882,4.764607148525089,87.192094985629,126.00646053465142,-38.814365549022426,43.5960474928145,-17.94489247295653,-4.713686727339654,8275,2912,5363,16218,0,4.143945455551148,"{""strategy_params_long.subSellTPPercent"": 0.544, ""strategy_params_long.tpPercent"": 0.33, ""strategy_params_short.subSellTPPercent"": 0.588, ""strategy_params_short.tpPercent"": 0.245}",,17.94489247295653,38.814365549022426,0.44515922636587424
6,expo_l1.2_s1.0,4.394647374481494,4.275730035577912,68.56343694432637,111.82530888105364,-43.26187193672726,34.281718472163185,-15.601578716521228,-3.822057175047602,7909,2961,4948,15692,0,3.9576668739318848,"{""strategy_params_long.maxLongInvestPct"": 1.2, ""strategy_params_short.maxShortInvestPct"": 1.0}",,15.601578716521228,43.26187193672726,0.6309758358796391
17,tp_current_s0.22_l0.33,4.27179110371296,4.153896785689826,77.23763389654674,116.0519994455694,-38.814365549022654,38.61881694827337,-18.080854616091425,-5.894715901156676,8264,2912,5352,16277,0,4.209845066070557,"{""strategy_params_long.subSellTPPercent"": 0.544, ""strategy_params_long.tpPercent"": 0.33, ""strategy_params_short.subSellTPPercent"": 0.528, ""strategy_params_short.tpPercent"": 0.22}",,18.080854616091425,38.814365549022654,0.5025317787571173
25,combo_l2_s1.5_st0.22_lt0.33,4.27179110371296,4.153896785689826,77.23763389654674,116.0519994455694,-38.814365549022654,38.61881694827337,-18.080854616091425,-5.894715901156676,8264,2912,5352,16277,0,3.5998165607452397,"{""strategy_params_long.maxLongInvestPct"": 2, ""strategy_params_long.subSellTPPercent"": 0.544, ""strategy_params_long.tpPercent"": 0.33, ""strategy_params_short.maxShortInvestPct"": 1.5, ""strategy_params_short.subSellTPPercent"": 0.528, ""strategy_params_short.tpPercent"": 0.22}",,18.080854616091425,38.814365549022654,0.5025317787571173
4,expo_l1.5_s1.0,4.2457844962049816,3.963950035870649,65.04134957258533,114.36683330996526,-49.325483737379926,32.520674786292666,-15.319041659019994,-3.791049022887886,7891,2943,4948,15614,0,4.265904903411865,"{""strategy_params_long.maxLongInvestPct"": 1.5, ""strategy_params_short.maxShortInvestPct"": 1.0}",,15.319041659019994,49.325483737379926,0.7583711602160608
19,tp_current_s0.28_l0.42,4.235032015297928,3.655665249093103,78.22216162125314,151.05025496147525,-72.82809334022211,39.11108081062657,-18.470264531341524,-3.0735419427710093,6913,2873,4040,13319,0,3.8629302978515625,"{""strategy_params_long.subSellTPPercent"": 0.693, ""strategy_params_long.tpPercent"": 0.42, ""strategy_params_short.subSellTPPercent"": 0.672, ""strategy_params_short.tpPercent"": 0.28}",,18.470264531341524,72.82809334022211,0.9310416873014994
