ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T21:50:32,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0|90.0|8.0,-5.840256,0.798578,-1.041696,-0.11199,270,40.43069863319397,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0_90p0_8p0.yaml
2025-08-24T21:51:06,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0|90.0|10.0,-5.840256,0.798578,-1.041696,-0.11199,270,34.08555245399475,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0_90p0_10p0.yaml
2025-08-24T21:51:43,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|70.0|6.0,6.895649,0.799941,-0.97545,-0.111147,319,37.10333490371704,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_70p0_6p0.yaml
2025-08-24T21:52:19,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|70.0|8.0,6.895649,0.799941,-0.97545,-0.111147,319,36.207507371902466,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_70p0_8p0.yaml
2025-08-24T21:52:55,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|70.0|10.0,6.895649,0.799941,-0.97545,-0.111147,319,35.962090730667114,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_70p0_10p0.yaml
2025-08-24T21:53:31,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|80.0|6.0,-2.50491,0.794188,-1.018471,-0.11471,291,36.0999059677124,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_80p0_6p0.yaml
2025-08-24T21:54:07,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|80.0|8.0,-2.50491,0.794188,-1.018471,-0.11471,291,36.101399183273315,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_80p0_8p0.yaml
2025-08-24T21:54:42,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|80.0|10.0,-2.50491,0.794188,-1.018471,-0.11471,291,34.63617300987244,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_80p0_10p0.yaml
2025-08-24T21:55:18,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|90.0|6.0,-5.840256,0.798578,-1.041696,-0.11199,270,36.11073708534241,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_90p0_6p0.yaml
2025-08-24T21:55:54,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|90.0|8.0,-5.840256,0.798578,-1.041696,-0.11199,270,35.87140464782715,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_90p0_8p0.yaml
