error,elapsed_sec,score,param,value,stage_idx,stage_mode
"ValueError(""could not convert string to float: ''"")",9.34600830078125e-05,-1e+30,strategy_params_long.trendMaLen,14.0,9,rays
"ValueError(""could not convert string to float: ''"")",0.0001087188720703125,-1e+30,strategy_params_long.trendMaLen,16.0,9,rays
"ValueError(""could not convert string to float: ''"")",8.893013000488281e-05,-1e+30,strategy_params_long.trendMaLen,18.0,9,rays
"ValueError(""could not convert string to float: ''"")",8.654594421386719e-05,-1e+30,strategy_params_long.trendMaLen,20.0,9,rays
"ValueError(""could not convert string to float: ''"")",8.440017700195312e-05,-1e+30,strategy_params_long.trendMaLen,22.0,9,rays
"ValueError(""could not convert string to float: ''"")",8.606910705566406e-05,-1e+30,strategy_params_long.trendMaLen,24.0,9,rays
"ValueError(""could not convert string to float: ''"")",8.392333984375e-05,-1e+30,strategy_params_long.trendMaLen,26.0,9,rays
"ValueError(""could not convert string to float: ''"")",8.535385131835938e-05,-1e+30,strategy_params_long.trendMaLen,28.0,9,rays
"ValueError(""could not convert string to float: ''"")",8.463859558105469e-05,-1e+30,strategy_params_long.trendMaLen,32.0,9,rays
"ValueError(""could not convert string to float: ''"")",0.00020575523376464844,-1e+30,strategy_params_short.trendMaLen,12.0,10,rays
"ValueError(""could not convert string to float: ''"")",0.00019216537475585938,-1e+30,strategy_params_short.trendMaLen,14.0,10,rays
"ValueError(""could not convert string to float: ''"")",9.846687316894531e-05,-1e+30,strategy_params_short.trendMaLen,16.0,10,rays
"ValueError(""could not convert string to float: ''"")",8.821487426757812e-05,-1e+30,strategy_params_short.trendMaLen,18.0,10,rays
"ValueError(""could not convert string to float: ''"")",8.869171142578125e-05,-1e+30,strategy_params_short.trendMaLen,20.0,10,rays
"ValueError(""could not convert string to float: ''"")",0.00021076202392578125,-1e+30,strategy_params_short.trendMaLen,22.0,10,rays
"ValueError(""could not convert string to float: ''"")",0.00018596649169921875,-1e+30,strategy_params_short.trendMaLen,24.0,10,rays
"ValueError(""could not convert string to float: ''"")",9.059906005859375e-05,-1e+30,strategy_params_short.trendMaLen,26.0,10,rays
"ValueError(""could not convert string to float: ''"")",0.0001952648162841797,-1e+30,strategy_params_short.trendMaLen,28.0,10,rays
"ValueError(""could not convert string to float: ''"")",9.202957153320312e-05,-1e+30,strategy_params_short.trendMaLen,32.0,10,rays
"ValueError(""could not convert string to float: ''"")",0.016746997833251953,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.017115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.15881633758544922,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.017115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.11328887939453125,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.017115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.10632562637329102,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.024614999999999998|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.025779008865356445,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.024614999999999998|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.016985177993774414,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.024614999999999998|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.007230281829833984,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.032115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0381779670715332,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.032115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.01954507827758789,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0125|0.032115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.015684843063354492,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.017115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.020557641983032227,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.017115|12.0,11,grid
