symbol,side,entry_time,exit_time,entry,exit,tp,sl,action,reason,gross_return,net_return,notional,fees_paid,realized_pnl
BLUAI/USDT:USDT,SHORT,2025-10-27T07:09:00+00:00,2025-10-27T07:21:00+00:00,0.02663,0.02637,0.02440837831217351,0.0268058783836196,EXIT,heat<0.97,0.009763424708974833,0.004563424708974834,90.0,0.18,0.41070822380773503
RVV/USDT:USDT,SHORT,2025-10-27T10:09:00+00:00,2025-10-27T10:12:00+00:00,0.010886,0.010973452655220576,0.009781334881424313,0.010973452655220576,SL,SL,-0.008033497631873575,-0.013233497631873575,90.00000000000001,0.18000000000000002,-1.1910147868686218
RVV/USDT:USDT,SHORT,2025-10-27T10:12:00+00:00,2025-10-27T10:54:00+00:00,0.011247,0.011049,0.010073810961322576,0.011339877465561962,EXIT,heat<0.97,0.01760469458522275,0.01240469458522275,90.0,0.18,1.1164225126700476
RVV/USDT:USDT,SHORT,2025-10-27T11:06:00+00:00,2025-10-27T12:09:00+00:00,0.010858,0.010928713791263431,0.009964773162988237,0.010928713791263431,SL,SL,-0.006512598200721269,-0.011712598200721269,90.0,0.18,-1.0541338380649141
ENSO/USDT:USDT,SHORT,2025-10-27T16:57:00+00:00,2025-10-27T17:00:00+00:00,2.0335,2.0471970589728388,1.8604845182378256,2.0471970589728388,SL,SL,-0.006735706404149831,-0.01193570640414983,90.0,0.18,-1.0742135763734848
ENSO/USDT:USDT,SHORT,2025-10-27T17:00:00+00:00,2025-10-27T17:03:00+00:00,2.0575,2.074423126189065,1.8437341955065523,2.074423126189065,SL,SL,-0.008225091707929417,-0.013425091707929417,90.0,0.18,-1.2082582537136475
ENSO/USDT:USDT,SHORT,2025-10-27T17:03:00+00:00,2025-10-27T17:21:00+00:00,2.0875,1.968,1.863974610113227,2.0875,TP_PARTIAL,TP50,0.057245508982035904,0.0520455089820359,45.0,0.09,2.3420479041916153
ENSO/USDT:USDT,SHORT,2025-10-27T17:03:00+00:00,2025-10-27T17:24:00+00:00,2.0875,1.973,1.863974610113227,2.0875,TP_PARTIAL,TP50,0.054850299401197525,0.04965029940119752,22.5,0.045,1.1171317365269442
ENSO/USDT:USDT,SHORT,2025-10-27T17:03:00+00:00,2025-10-27T17:27:00+00:00,2.0875,1.967,1.863974610113227,2.0875,TP_PARTIAL,TP50,0.05772455089820351,0.05252455089820351,11.25,0.0225,0.5909011976047894
ENSO/USDT:USDT,SHORT,2025-10-27T17:03:00+00:00,2025-10-27T17:51:00+00:00,2.0875,1.982,1.863974610113227,2.0875,EXIT,heat<0.97,0.05053892215568859,0.045338922155688584,11.25,0.0225,0.5100628742514965
TURTLE/USDT:USDT,SHORT,2025-10-28T00:36:00+00:00,2025-10-28T00:39:00+00:00,0.1568,0.15850531976243737,0.1352591187902647,0.15850531976243737,SL,SL,-0.01087576379105468,-0.01607576379105468,90.0,0.18,-1.4468187411949212
TURTLE/USDT:USDT,SHORT,2025-10-28T00:39:00+00:00,2025-10-28T00:42:00+00:00,0.1638,0.16563865406512043,0.14057489601953152,0.16563865406512043,SL,SL,-0.01122499429255453,-0.016424994292554528,90.0,0.18,-1.4782494863299074
TURTLE/USDT:USDT,SHORT,2025-10-28T00:42:00+00:00,2025-10-28T01:36:00+00:00,0.1668,0.1545,0.14297097487527927,0.1668,TP_PARTIAL,TP50,0.07374100719424463,0.06854100719424464,45.0,0.09,3.0843453237410086
TURTLE/USDT:USDT,SHORT,2025-10-28T00:42:00+00:00,2025-10-28T01:39:00+00:00,0.1668,0.1541,0.14297097487527927,0.1668,TP_PARTIAL,TP50,0.07613908872901688,0.07093908872901689,22.5,0.045,1.59612949640288
TURTLE/USDT:USDT,SHORT,2025-10-28T00:42:00+00:00,2025-10-28T01:42:00+00:00,0.1668,0.1548,0.14297097487527927,0.1668,TP_PARTIAL,TP50,0.07194244604316553,0.06674244604316554,11.25,0.0225,0.7508525179856123
TURTLE/USDT:USDT,SHORT,2025-10-28T00:42:00+00:00,2025-10-28T01:45:00+00:00,0.1668,0.1544,0.14297097487527927,0.1668,TP_PARTIAL,TP50,0.07434052757793762,0.06914052757793762,5.625,0.01125,0.3889154676258991
TURTLE/USDT:USDT,SHORT,2025-10-28T00:42:00+00:00,2025-10-28T01:48:00+00:00,0.1668,0.1542,0.14297097487527927,0.1668,TP_PARTIAL,TP50,0.07553956834532374,0.07033956834532375,2.8125,0.005625,0.19783003597122303
TURTLE/USDT:USDT,SHORT,2025-10-28T00:42:00+00:00,2025-10-28T02:03:00+00:00,0.1668,0.1547,0.14297097487527927,0.1668,EXIT,heat<0.97,0.0725419664268585,0.06734196642685851,2.8125,0.005625,0.18939928057553956
RVV/USDT:USDT,SHORT,2025-10-28T02:15:00+00:00,2025-10-28T02:18:00+00:00,0.008991,0.009056654119471754,0.00816168480667258,0.009056654119471754,SL,SL,-0.007302204367896087,-0.012502204367896088,90.0,0.18,-1.125198393110648
RVV/USDT:USDT,SHORT,2025-10-28T02:18:00+00:00,2025-10-28T02:21:00+00:00,0.009077,0.0091451302537952,0.008216407320481681,0.0091451302537952,SL,SL,-0.007505811809540566,-0.012705811809540566,90.0,0.18,-1.143523062858651
RVV/USDT:USDT,SHORT,2025-10-28T02:21:00+00:00,2025-10-28T02:51:00+00:00,0.009176,0.009118,0.008313449654732989,0.009244285235666972,EXIT,heat<0.97,0.006320836965998339,0.001120836965998339,89.99999999999999,0.17999999999999997,0.1008753269398505
SVSA/USDT:USDT,SHORT,2025-10-28T02:51:00+00:00,2025-10-28T02:57:00+00:00,0.00909,0.009173407229000225,0.008036435002102443,0.009173407229000225,SL,SL,-0.00917571276130076,-0.014375712761300759,90.0,0.18,-1.2938141485170682
SVSA/USDT:USDT,SHORT,2025-10-28T02:57:00+00:00,2025-10-28T03:30:00+00:00,0.00918,0.009258121539291009,0.008193201608955678,0.009258121539291009,SL,SL,-0.008509971600327682,-0.013709971600327681,90.00000000000001,0.18000000000000002,-1.2338974440294914
SVSA/USDT:USDT,SHORT,2025-10-28T10:30:00+00:00,2025-10-28T10:39:00+00:00,0.00865,0.00865,0.007912742861738337,0.008708366190112381,EOD,EOD,0.0,-0.0052,90.0,0.18,-0.46799999999999997
