realized_pnl,equity_end_realized,return_pct,trades,win_rate_pct,mdd_realized_pct,mdd_mtm_pct,max_gross_notional,symbol,bars
1.5593995483472582,101.55939954834726,1.5593995483472582,24,100.0,0.0,-4.802767283523892,45.0,REZ/USDT:USDT,2000
1.5452345005343318,101.54523450053433,1.5452345005343318,11,100.0,0.0,-6.537926022804018,45.0,ULTIMA/USDT:USDT,2000
1.5311833222544526,101.53118332225445,1.5311833222544526,29,100.0,0.0,-3.7793583468568768,45.0,IP/USDC:USDC,2000
1.4948482558318599,101.49484825583185,1.4948482558318599,17,100.0,0.0,-8.866576873622154,45.0,BASED/USDT:USDT,2000
1.490056779412611,101.49005677941261,1.490056779412611,26,100.0,0.0,-5.424239236185654,45.0,BANANAS31/USDT:USDT,2000
1.4764805556949039,101.4764805556949,1.4764805556949039,11,100.0,0.0,-11.107352838542505,45.0,GUN/USDT:USDT,2000
1.466014399245718,101.46601439924572,1.466014399245718,23,100.0,0.0,-6.736478610686077,5.0,NCSKCRCL2USD/USDT:USDT,2000
1.4520234433833825,101.45202344338338,1.4520234433833825,27,100.0,0.0,-3.795347057099606,45.00000000000001,IP/USDT:USDT,2000
1.438850343781091,101.43885034378108,1.438850343781091,27,100.0,0.0,-5.806729747055506,45.0,1000CHEEMS/USDT:USDT,2000
1.4299670999717096,101.4299670999717,1.4299670999717096,26,100.0,0.0,-1.3278594274583202,45.0,B/USDT:USDT,2000
1.42635495100613,101.42635495100613,1.42635495100613,31,100.0,0.0,-2.9327439100381425,45.0,NMR/USDT:USDT,2000
1.4035845711771355,101.40358457117713,1.4035845711771355,32,100.0,0.0,-2.969713174184698,45.0,SXT/USDT:USDT,2000
1.403518760729721,101.40351876072972,1.403518760729721,29,100.0,0.0,-2.898499615187821,12.499999999999998,SKR/USDT:USDT,2000
1.3901763479997495,101.39017634799976,1.3901763479997495,17,100.0,0.0,-3.631817537279543,45.0,SQD/USDT:USDT,2000
1.3778054636989283,101.37780546369893,1.3778054636989283,18,100.0,0.0,-6.208538105816762,45.0,PUMPBTC/USDT:USDT,2000
1.3750047346420438,101.37500473464205,1.3750047346420438,26,100.0,0.0,-2.012542848002669,17.5,MANTRA/USDT:USDT,2000
1.3679613232448438,101.36796132324484,1.3679613232448438,21,100.0,0.0,-16.221866958882075,45.0,EDU/USDT:USDT,2000
1.358390323493372,101.35839032349337,1.358390323493372,24,100.0,0.0,-1.8237699716840763,27.5,POL/USDC:USDC,2000
1.3362717632737282,101.33627176327373,1.3362717632737282,6,100.0,0.0,-8.883407656608046,45.0,JCT/USDT:USDT,2000
1.3208242314449863,101.32082423144499,1.3208242314449863,25,100.0,0.0,-4.162858209037091,45.0,INIT/USDT:USDT,2000
1.302720426709644,101.30272042670964,1.302720426709644,23,100.0,0.0,-1.9344727342758623,45.0,USUAL/USDT:USDT,2000
1.29156640384406,101.29156640384406,1.29156640384406,24,100.0,0.0,-1.5560354669403273,12.5,COAI/USDT:USDT,2000
1.284456431418392,101.28445643141839,1.284456431418392,23,100.0,0.0,-2.2049315927630215,45.0,CC/USDT:USDT,2000
1.282225710781422,101.28222571078142,1.282225710781422,23,100.0,0.0,-6.279604819108949,50.0,SPACECOIN/USDT:USDT,2000
1.2811836901424538,101.28118369014246,1.2811836901424538,31,100.0,0.0,-3.4656964492690694,45.0,WLFI/USDT:USDT,2000
1.27352386913549,101.27352386913549,1.27352386913549,29,100.0,0.0,-2.927459130972764,12.5,STG/USDT:USDT,2000
1.2433271377127726,101.24332713771277,1.2433271377127726,16,100.0,0.0,-3.2603101942736945,45.0,NCSKTSLA2USD/USDT:USDT,2000
1.2323291447907971,101.2323291447908,1.2323291447907971,28,100.0,0.0,-11.117220333337219,45.0,ESP/USDT:USDT,2000
1.2178280615658852,101.21782806156588,1.2178280615658852,18,100.0,0.0,-7.216567779568471,50.0,VVV/USDT:USDT,2000
1.2173531313752255,101.21735313137522,1.2173531313752255,19,100.0,0.0,-2.357480747215463,44.99999999999999,EPIC/USDT:USDT,2000
1.2057890399475435,101.20578903994755,1.2057890399475435,32,100.0,0.0,-3.4295098793261163,45.0,WLFI/USDC:USDC,2000
1.205512344138286,101.20551234413828,1.205512344138286,31,100.0,0.0,-2.4386845913910467,50.0,SYN/USDT:USDT,2000
1.2034204552334011,101.2034204552334,1.2034204552334011,31,100.0,0.0,-1.9894811758253979,27.500000000000004,SENT/USDT:USDT,2000
1.1959868813583097,101.19598688135831,1.1959868813583097,32,100.0,0.0,-3.683684288983708,45.0,RSR/USDT:USDT,2000
1.1852995990442898,101.18529959904428,1.1852995990442898,24,100.0,0.0,-3.800274660799218,50.0,TREE/USDT:USDT,2000
1.1771177373728072,101.17711773737281,1.1771177373728072,13,100.0,0.0,-3.9886511965684925,55.0,IR/USDT:USDT,2000
1.1544654879177565,101.15446548791776,1.1544654879177565,14,100.0,0.0,-14.234898358019283,50.0,WOTAMALAILE/USDT:USDT,2000
1.1520558705459525,101.15205587054595,1.1520558705459525,26,100.0,0.0,-5.42216259431451,45.0,XPL/USDT:USDT,2000
1.1485747445297645,101.14857474452977,1.1485747445297645,21,100.0,0.0,-2.798788037873691,45.0,TRUTH/USDT:USDT,2000
1.1483204736663348,101.14832047366633,1.1483204736663348,23,100.0,0.0,-1.7640502879206896,45.0,POL/USDT:USDT,2000
1.1385170929148796,101.13851709291488,1.1385170929148796,26,100.0,0.0,-6.382962331373504,45.0,MERL/USDT:USDT,2000
1.136566912496974,101.13656691249697,1.136566912496974,7,100.0,0.0,-4.8551556345258815,45.0,G/USDT:USDT,2000
1.099211403827604,101.09921140382761,1.099211403827604,19,100.0,0.0,-5.588045129684075,45.0,TUT/USDT:USDT,2000
1.0987154657613682,101.09871546576137,1.0987154657613682,22,100.0,0.0,-8.73863495519127,60.0,MAV/USDT:USDT,2000
1.0967316607500293,101.09673166075002,1.0967316607500293,21,100.0,0.0,-15.423999087494384,45.0,TAKE/USDT:USDT,2000
1.0940574426747702,101.09405744267477,1.0940574426747702,20,100.0,0.0,-8.030881414040005,55.0,MYX/USDT:USDT,2000
1.0848546669557493,101.08485466695575,1.0848546669557493,23,100.0,0.0,-3.6224589624743695,45.0,FLUID/USDT:USDT,2000
1.07723193086467,101.07723193086467,1.07723193086467,29,100.0,0.0,-4.413675357398684,55.0,LA/USDT:USDT,2000
1.0610644187946856,101.06106441879469,1.0610644187946856,16,100.0,0.0,-3.3833469302034036,17.5,STBL/USDT:USDT,2000
1.058307890216956,101.05830789021695,1.058307890216956,23,100.0,0.0,-1.7542641228235325,17.5,NIGHT/USDT:USDT,2000
1.0526357989206228,101.05263579892062,1.0526357989206228,23,100.0,0.0,-2.287159498123608,45.0,ESPORTS/USDT:USDT,2000
1.034012058087113,101.03401205808711,1.034012058087113,22,100.0,0.0,-3.1295331447141423,45.0,HANA/USDT:USDT,2000
1.0320415358589339,101.03204153585894,1.0320415358589339,17,100.0,0.0,-2.5031281595777934,27.5,TRUST/USDT:USDT,2000
1.0246556730359189,101.02465567303592,1.0246556730359189,24,100.0,0.0,-3.583140691941077,45.0,BITLIGHT/USDT:USDT,2000
1.0218942373848672,101.02189423738487,1.0218942373848672,17,100.0,0.0,-7.677712975310258,45.0,Q/USDT:USDT,2000
1.0172005157379131,101.01720051573791,1.0172005157379131,26,100.0,0.0,-3.3154127892906526,55.0,W/USDT:USDT,2000
1.0020193822540342,101.00201938225403,1.0020193822540342,18,100.0,0.0,-4.3831857636115075,50.0,FORM/USDT:USDT,2000
0.982270174472692,100.98227017447269,0.982270174472692,7,100.0,0.0,-18.53262676652959,55.0,SOLV/USDT:USDT,2000
0.9737785141177441,100.97377851411774,0.973778514117744,18,100.0,0.0,-2.980085021296864,27.5,HAEDAL/USDT:USDT,2000
0.9619482564417299,100.96194825644173,0.9619482564417298,13,100.0,0.0,-5.367298522832646,50.0,AAVE/USDT:USDT,2000
0.9396108694324996,100.9396108694325,0.9396108694324995,20,100.0,0.0,-3.896465899886889,45.0,LAYER/USDT:USDT,2000
0.9350492836505307,100.93504928365053,0.9350492836505307,26,100.0,0.0,-4.43619796688008,27.499999999999996,ROBO/USDT:USDT,2000
0.9263254300312991,100.9263254300313,0.926325430031299,14,100.0,0.0,-5.417429572374407,50.0,AAVE/USDC:USDC,2000
0.9225995693101803,100.92259956931018,0.9225995693101803,21,100.0,0.0,-3.05785776621183,45.0,MMT/USDT:USDT,2000
0.92018689534466,100.92018689534466,0.9201868953446599,17,100.0,0.0,-2.724743689362686,12.5,ACX/USDT:USDT,2000
0.9099456267826209,100.90994562678262,0.9099456267826209,16,100.0,0.0,-10.709206856187029,45.0,FIGHTID/USDT:USDT,2000
0.9059115699912249,100.90591156999122,0.9059115699912249,26,100.0,0.0,-2.466795641965229,17.5,BMT/USDT:USDT,2000
0.8933394267453272,100.89333942674533,0.8933394267453272,21,100.0,0.0,-2.799850870119198,45.0,BIRB/USDT:USDT,2000
0.8926590949919094,100.89265909499191,0.8926590949919094,8,100.0,0.0,-8.165328191366738,45.0,CFG/USDT:USDT,2000
0.8924435084042717,100.89244350840427,0.8924435084042717,10,100.0,0.0,-5.112396377587855,45.0,SYRUP/USDT:USDT,2000
0.8876745741544873,100.88767457415449,0.8876745741544873,7,100.0,0.0,-5.3860243001336805,50.0,ZAMA/USDT:USDT,2000
0.8828429748395764,100.88284297483958,0.8828429748395764,16,100.0,0.0,-7.258797657865321,44.99999999999999,SPX/USDT:USDT,2000
0.8825277241745556,100.88252772417455,0.8825277241745555,13,100.0,0.0,-3.2496046492922614,45.0,BIO/USDT:USDT,2000
0.8742109465660853,100.87421094656608,0.8742109465660853,16,100.0,0.0,-4.039199087011811,12.5,PHB/USDT:USDT,2000
0.869278700976944,100.86927870097695,0.869278700976944,11,100.0,0.0,-5.933968706680848,45.0,CRV/USDT:USDT,2000
0.8668270179856605,100.86682701798566,0.8668270179856605,23,100.0,0.0,-1.6427799605634923,45.0,ERA/USDT:USDT,2000
0.8659970000480134,100.86599700004801,0.8659970000480135,22,100.0,0.0,-2.044322681303503,44.99999999999999,HOME/USDT:USDT,2000
0.8609525202855255,100.86095252028552,0.8609525202855255,15,100.0,0.0,-3.256619409234482,45.0,APT/USDC:USDC,2000
0.8544706774764168,100.85447067747641,0.8544706774764168,11,100.0,0.0,-5.37078905151233,45.0,RECALL/USDT:USDT,2000
0.8496958284373505,100.84969582843735,0.8496958284373505,16,100.0,0.0,-4.324851341082735,50.0,LINK/USDC:USDC,2000
0.8475401209760701,100.84754012097606,0.84754012097607,13,100.0,0.0,-6.4672887419731016,55.0,CARV/USDT:USDT,2000
0.8221485719172349,100.82214857191724,0.8221485719172349,19,100.0,0.0,-4.449215631845169,45.00000000000001,ELSA/USDT:USDT,2000
0.8213399198938799,100.82133991989387,0.8213399198938799,22,100.0,0.0,-4.566595990492546,45.0,SAGA/USDT:USDT,2000
0.8207407627820691,100.82074076278207,0.8207407627820691,21,100.0,0.0,-2.2018239316699035,45.0,DIA/USDT:USDT,2000
0.8192785755842537,100.81927857558425,0.8192785755842538,14,100.0,0.0,-3.605243218766336,45.0,BIGTIME/USDT:USDT,2000
0.8173024919455765,100.81730249194558,0.8173024919455765,8,100.0,0.0,-13.464214201542415,50.0,NEET/USDT:USDT,2000
0.8088656566268237,100.80886565662682,0.8088656566268236,10,100.0,0.0,-6.743208656266303,45.0,SUPER/USDT:USDT,2000
0.8041260151274983,100.8041260151275,0.8041260151274982,18,100.0,0.0,-5.611362022275002,27.5,ZORA/USDT:USDT,2000
0.8038953720356371,100.80389537203564,0.8038953720356371,20,100.0,0.0,-3.4191714481304323,27.5,SFP/USDT:USDT,2000
0.7978055817606633,100.79780558176067,0.7978055817606633,15,100.0,0.0,-12.208071495249314,45.0,ARC/USDT:USDT,2000
0.7795911715865997,100.7795911715866,0.7795911715865997,12,100.0,0.0,-16.605767818323606,45.0,CHILLGUY/USDT:USDT,2000
0.7670124390773265,100.76701243907732,0.7670124390773265,15,100.0,0.0,-3.8602436152393773,45.0,SAND/USDT:USDT,2000
0.7657293596244943,100.7657293596245,0.7657293596244943,11,100.0,0.0,-3.2799672700052995,50.0,NCCOPALLADIUM2USD/USDT:USDT,968
