symbol,side,entry_time,exit_time,entry,exit,tp,sl,action,reason,gross_return,net_return,notional,fees_paid,realized_pnl
10000SATS/USDT:USDT,LONG,2025-09-10T03:30:00+00:00,2025-09-10T03:33:00+00:00,0.000467,0.00046300171689425733,0.0005090871905867651,0.00046300171689425733,SL,SL,-0.00856163405940619,-0.01376163405940619,4.5,0.009000000000000001,-0.06192735326732786
OMNINETWORK/USDT:USDT,LONG,2025-09-10T03:33:00+00:00,2025-09-10T03:36:00+00:00,3.833,3.800953260185997,4.170334103305296,3.800953260185997,SL,SL,-0.008360746103314163,-0.013560746103314163,4.5,0.009000000000000001,-0.06102335746491373
BAKE/USDT:USDT,LONG,2025-09-10T03:15:00+00:00,2025-09-10T03:54:00+00:00,0.041,0.0446,0.047146080046435036,0.041,TP_PARTIAL,TP50,0.08780487804878045,0.08260487804878046,2.25,0.0045000000000000005,0.18586097560975604
10000SATS/USDT:USDT,LONG,2025-09-10T03:33:00+00:00,2025-09-10T04:00:00+00:00,0.000453,0.000481,0.0004989381055448533,0.000453,TP_PARTIAL,TP50,0.06181015452538626,0.05661015452538626,2.25,0.0045000000000000005,0.1273728476821191
OMNINETWORK/USDT:USDT,LONG,2025-09-10T03:36:00+00:00,2025-09-10T04:00:00+00:00,3.788,3.7554737416012824,4.130381667354918,3.7554737416012824,SL,SL,-0.00858665744422317,-0.01378665744422317,4.5,0.009000000000000001,-0.06203995849900426
OMNINETWORK/USDT:USDT,LONG,2025-09-10T04:00:00+00:00,2025-09-10T04:15:00+00:00,3.617,3.586368146860375,3.9394405593644737,3.586368146860375,SL,SL,-0.008468856273050815,-0.013668856273050815,4.5,0.009000000000000001,-0.061509853228728664
10000SATS/USDT:USDT,LONG,2025-09-10T03:33:00+00:00,2025-09-10T04:18:00+00:00,0.000453,0.0004989381055448533,0.0004989381055448533,0.000453,TP,TP,0.1014086215118175,0.0962086215118175,2.25,0.0045000000000000005,0.21646939840158938
10000SATS/USDT:USDT,LONG,2025-09-10T04:18:00+00:00,2025-09-10T04:21:00+00:00,0.000502,0.0004978171553145315,0.0005460299440575621,0.0004978171553145315,SL,SL,-0.008332359931211985,-0.013532359931211985,4.5,0.009000000000000001,-0.060895619690453935
10000SATS/USDT:USDT,LONG,2025-09-10T04:21:00+00:00,2025-09-10T04:24:00+00:00,0.000497,0.0004928173585063508,0.0005410278051963078,0.0004928173585063508,SL,SL,-0.008415777653217809,-0.013615777653217809,4.5,0.009000000000000001,-0.06127099943948014
10000SATS/USDT:USDT,LONG,2025-09-10T04:24:00+00:00,2025-09-10T04:27:00+00:00,0.000485,0.0004807632614701829,0.0005295972476822857,0.0004807632614701829,SL,SL,-0.008735543360447684,-0.013935543360447684,4.5,0.009000000000000001,-0.06270994512201458
BAKE/USDT:USDT,LONG,2025-09-10T03:15:00+00:00,2025-09-10T04:45:00+00:00,0.041,0.047146080046435036,0.047146080046435036,0.041,TP,TP,0.14990439137646425,0.14470439137646424,2.25,0.0045000000000000005,0.32558488059704455
BAKE/USDT:USDT,LONG,2025-09-10T04:45:00+00:00,2025-09-10T04:48:00+00:00,0.0474,0.046942391098787624,0.05221693580223552,0.046942391098787624,SL,SL,-0.009654196228109152,-0.014854196228109151,4.5,0.009000000000000001,-0.06684388302649118
BAKE/USDT:USDT,LONG,2025-09-10T04:48:00+00:00,2025-09-10T04:57:00+00:00,0.0469,0.0513,0.05163001181636155,0.0469,TP_PARTIAL,TP50,0.093816631130064,0.088616631130064,2.25,0.0045000000000000005,0.199387420042644
BAKE/USDT:USDT,LONG,2025-09-10T04:48:00+00:00,2025-09-10T05:00:00+00:00,0.0469,0.05163001181636155,0.05163001181636155,0.0469,TP,TP,0.10085313041282631,0.09565313041282632,2.25,0.0045000000000000005,0.2152195434288592
BAKE/USDT:USDT,LONG,2025-09-10T05:00:00+00:00,2025-09-10T05:03:00+00:00,0.0556,0.0592,0.0622175100866072,0.0556,TP_PARTIAL,TP50,0.06474820143884903,0.05954820143884903,2.25,0.0045000000000000005,0.13398345323741032
10000SATS/USDT:USDT,LONG,2025-09-10T04:27:00+00:00,2025-09-10T05:06:00+00:00,0.000473,0.0004686587427937412,0.0005186974442764082,0.0004686587427937412,SL,SL,-0.009178133628454077,-0.014378133628454077,4.5,0.009000000000000001,-0.06470160132804334
BAKE/USDT:USDT,LONG,2025-09-10T05:00:00+00:00,2025-09-10T05:09:00+00:00,0.0556,0.0622175100866072,0.0622175100866072,0.0556,TP,TP,0.11901996558646045,0.11381996558646046,2.25,0.0045000000000000005,0.25609492256953603
HIFI/USDT:USDT,LONG,2025-09-10T05:12:00+00:00,2025-09-10T05:15:00+00:00,0.07025,0.0744,0.07607982046552345,0.07025,TP_PARTIAL,TP50,0.05907473309608522,0.05387473309608522,2.25,0.0045000000000000005,0.12121814946619174
BAKE/USDT:USDT,LONG,2025-09-10T05:09:00+00:00,2025-09-10T05:21:00+00:00,0.0634,0.0699,0.07313245978873033,0.0634,TP_PARTIAL,TP50,0.10252365930599379,0.09732365930599379,2.25,0.0045000000000000005,0.21897823343848605
BAKE/USDT:USDT,LONG,2025-09-10T05:09:00+00:00,2025-09-10T05:24:00+00:00,0.0634,0.07313245978873033,0.07313245978873033,0.0634,TP,TP,0.1535088294752418,0.1483088294752418,2.25,0.0045000000000000005,0.333694866319294
HIFI/USDT:USDT,LONG,2025-09-10T05:12:00+00:00,2025-09-10T05:24:00+00:00,0.07025,0.07607982046552345,0.07607982046552345,0.07025,TP,TP,0.08298676819250446,0.07778676819250446,2.25,0.0045000000000000005,0.17502022843313503
AVAAI/USDT:USDT,LONG,2025-09-10T05:21:00+00:00,2025-09-10T05:24:00+00:00,0.02477,0.024541799796731618,0.027172107402825066,0.024541799796731618,SL,SL,-0.009212765574016254,-0.014412765574016254,4.5,0.009000000000000001,-0.06485744508307315
10000SATS/USDT:USDT,LONG,2025-09-10T05:06:00+00:00,2025-09-10T05:27:00+00:00,0.00046,0.0004558851392792211,0.0005033143233766206,0.0004558851392792211,SL,SL,-0.008945349392997681,-0.014145349392997681,4.5,0.009000000000000001,-0.06365407226848957
HIFI/USDT:USDT,LONG,2025-09-10T05:24:00+00:00,2025-09-10T05:30:00+00:00,0.07861,0.07786001668783833,0.08650456118064909,0.07786001668783833,SL,SL,-0.00954055860783192,-0.01474055860783192,4.5,0.009000000000000001,-0.06633251373524364
HIFI/USDT:USDT,LONG,2025-09-10T05:30:00+00:00,2025-09-10T05:36:00+00:00,0.07654,0.07543316234818713,0.08819092265066171,0.07543316234818713,SL,SL,-0.014460904779368526,-0.019660904779368528,4.5,0.009000000000000001,-0.08847407150715837
BAKE/USDT:USDT,LONG,2025-09-10T05:24:00+00:00,2025-09-10T05:39:00+00:00,0.0766,0.07528175916234303,0.09047621934375753,0.07528175916234303,SL,SL,-0.01720941041327637,-0.02240941041327637,4.5,0.009000000000000001,-0.10084234685974366
HIFI/USDT:USDT,LONG,2025-09-10T05:36:00+00:00,2025-09-10T05:45:00+00:00,0.07448,0.08108,0.08679656085694812,0.07448,TP_PARTIAL,TP50,0.08861439312567125,0.08341439312567125,2.25,0.0045000000000000005,0.18768238453276032
BAKE/USDT:USDT,LONG,2025-09-10T05:39:00+00:00,2025-09-10T05:45:00+00:00,0.0715,0.0867,0.09100725796692183,0.0715,TP_PARTIAL,TP50,0.21258741258741268,0.20738741258741267,2.25,0.0045000000000000005,0.4666216783216785
BAKE/USDT:USDT,LONG,2025-09-10T05:39:00+00:00,2025-09-10T05:57:00+00:00,0.0715,0.09100725796692183,0.09100725796692183,0.0715,TP,TP,0.27282878275415157,0.2676287827541516,2.25,0.0045000000000000005,0.602164761196841
HIFI/USDT:USDT,LONG,2025-09-10T05:36:00+00:00,2025-09-10T06:00:00+00:00,0.07448,0.08679656085694812,0.08679656085694812,0.07448,TP,TP,0.16536735844452355,0.16016735844452354,2.25,0.0045000000000000005,0.36037655650017797
10000SATS/USDT:USDT,LONG,2025-09-10T05:27:00+00:00,2025-09-10T06:03:00+00:00,0.000447,0.0004432800959149368,0.0004861568851059289,0.0004432800959149368,SL,SL,-0.008321933076204083,-0.013521933076204083,4.5,0.009000000000000001,-0.060848698842918374
BAKE/USDT:USDT,LONG,2025-09-10T06:00:00+00:00,2025-09-10T06:09:00+00:00,0.1051,0.10281179623658773,0.12918635540433965,0.10281179623658773,SL,SL,-0.021771681859298446,-0.02697168185929845,4.5,0.009000000000000001,-0.12137256836684301
HIFI/USDT:USDT,LONG,2025-09-10T06:03:00+00:00,2025-09-10T06:09:00+00:00,0.09395,0.09223961321774697,0.1119540713921372,0.09223961321774697,SL,SL,-0.018205287730207922,-0.023405287730207926,4.5,0.009000000000000001,-0.10532379478593566
BSW/USDT:USDT,LONG,2025-09-10T05:48:00+00:00,2025-09-10T06:12:00+00:00,0.01735,0.017150868876791223,0.019446117086408195,0.017150868876791223,SL,SL,-0.011477298167652921,-0.01667729816765292,4.5,0.009000000000000001,-0.07504784175443814
HIFI/USDT:USDT,LONG,2025-09-10T06:09:00+00:00,2025-09-10T06:27:00+00:00,0.08152,0.07954694302958794,0.10228902074117951,0.07954694302958794,SL,SL,-0.024203348508489417,-0.02940334850848942,4.5,0.009000000000000001,-0.1323150682882024
VELVET/USDT:USDT,LONG,2025-09-10T06:12:00+00:00,2025-09-10T06:33:00+00:00,0.08794,0.09215,0.0960629121153181,0.08794,TP_PARTIAL,TP50,0.047873550147827966,0.04267355014782796,2.25,0.0045000000000000005,0.09601548783261292
HIFI/USDT:USDT,LONG,2025-09-10T06:27:00+00:00,2025-09-10T06:48:00+00:00,0.07884,0.07698154120109159,0.0984027241990359,0.07698154120109159,SL,SL,-0.023572536769513004,-0.028772536769513003,4.5,0.009000000000000001,-0.12947641546280853
VELVET/USDT:USDT,LONG,2025-09-10T06:12:00+00:00,2025-09-10T06:57:00+00:00,0.08794,0.09307,0.0960629121153181,0.08794,EXIT,heat<0.85,0.058335228564930584,0.05313522856493058,2.25,0.0045000000000000005,0.11955426427109381
HIFI/USDT:USDT,LONG,2025-09-10T06:48:00+00:00,2025-09-10T07:30:00+00:00,0.07582,0.07420587929973844,0.0928107442132795,0.07420587929973844,SL,SL,-0.021288851230038958,-0.02648885123003896,4.5,0.009000000000000001,-0.11919983053517533
BROCCOLIF3B/USDT:USDT,LONG,2025-09-10T07:30:00+00:00,2025-09-10T07:33:00+00:00,0.01492,0.015866,0.01674938491799682,0.01492,TP_PARTIAL,TP50,0.06340482573726558,0.05820482573726558,2.25,0.0045000000000000005,0.13096085790884754
BROCCOLIF3B/USDT:USDT,LONG,2025-09-10T07:30:00+00:00,2025-09-10T07:45:00+00:00,0.01492,0.01492,0.01674938491799682,0.01492,SL,SL,0.0,-0.0052,2.25,0.0045000000000000005,-0.011699999999999999
BROCCOLIF3B/USDT:USDT,LONG,2025-09-10T07:45:00+00:00,2025-09-10T07:51:00+00:00,0.014105,0.013842108578821342,0.01687227811767008,0.013842108578821342,SL,SL,-0.018638172362896662,-0.023838172362896662,4.5,0.009000000000000001,-0.10727177563303497
