symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,realized_pnl
BIO/USDT:USDT,LONG,2025-08-21T23:15:00+00:00,2025-08-21T23:20:00+00:00,0.17359,0.16765,0.1810328324537712,0.1707273721331649,SL,-0.03421856097701481,-0.036818560977014816,49.0,-1.804109487873726
CUDIS/USDT:USDT,LONG,2025-08-21T22:40:00+00:00,2025-08-22T00:10:00+00:00,0.09849,0.09594,0.10325091554506176,0.0966588786365147,SL,-0.025890953396283854,-0.028490953396283852,49.0,-1.3960567164179087
BIO/USDT:USDT,LONG,2025-08-21T23:20:00+00:00,2025-08-22T01:20:00+00:00,0.16765,0.17634,0.17590948727850184,0.16447327412365315,TP,0.051834178347748304,0.0492341783477483,49.0,2.412474739039667
BIO/USDT:USDT,LONG,2025-08-22T01:20:00+00:00,2025-08-22T01:50:00+00:00,0.17634,0.18283,0.18269362833514935,0.17389629679417332,TP,0.036803901553816465,0.03420390155381646,49.0,1.6759911761370065
BIO/USDT:USDT,LONG,2025-08-22T01:50:00+00:00,2025-08-22T01:55:00+00:00,0.18283,0.17999,0.18956515352403572,0.18023955633690933,SL,-0.015533555762183349,-0.018133555762183347,49.0,-0.888544232346984
CUDIS/USDT:USDT,LONG,2025-08-22T01:20:00+00:00,2025-08-22T02:30:00+00:00,0.09992,0.10568,0.10511148538730643,0.09792327485103598,TP,0.05764611689351483,0.055046116893514824,49.0,2.6972597277822263
BIO/USDT:USDT,LONG,2025-08-22T01:55:00+00:00,2025-08-22T02:45:00+00:00,0.17999,0.18711,0.1867993568437475,0.17737101659855867,TP,0.039557753208511515,0.03695775320851151,49.0,1.810929907217064
CUDIS/USDT:USDT,LONG,2025-08-22T02:30:00+00:00,2025-08-22T02:45:00+00:00,0.10568,0.10216,0.11063206422449233,0.10377535991365679,SL,-0.03330809992429973,-0.03590809992429973,49.0,-1.759496896290687
CUDIS/USDT:USDT,LONG,2025-08-22T02:45:00+00:00,2025-08-22T03:05:00+00:00,0.10216,0.0999,0.1071274442788665,0.10024944450812827,SL,-0.02212216131558338,-0.02472216131558338,49.0,-1.2113859044635855
FLOCK/USDT:USDT,LONG,2025-08-22T03:05:00+00:00,2025-08-22T03:45:00+00:00,0.27628,0.29223,0.2896222339162065,0.27114837157068983,TP,0.0577312871000433,0.055131287100043294,49.0,2.7014330679021215
BIO/USDT:USDT,LONG,2025-08-22T02:45:00+00:00,2025-08-22T04:00:00+00:00,0.18711,0.18303,0.1949039109259692,0.1841123419515503,SL,-0.021805355138688472,-0.024405355138688474,49.0,-1.1958624017957353
FLOCK/USDT:USDT,LONG,2025-08-22T03:45:00+00:00,2025-08-22T04:25:00+00:00,0.29223,0.28605,0.30696270263782044,0.2865635759085306,SL,-0.02114772610614914,-0.023747726106149142,49.0,-1.163638579201308
BIO/USDT:USDT,LONG,2025-08-22T04:00:00+00:00,2025-08-22T04:40:00+00:00,0.18303,0.19237,0.19115133336404938,0.1799064102445964,TP,0.051029885811069306,0.0484298858110693,49.0,2.373064404742396
BIO/USDT:USDT,LONG,2025-08-22T04:40:00+00:00,2025-08-22T05:00:00+00:00,0.19237,0.18693,0.20039356741057401,0.18928401253439464,SL,-0.028278837656599262,-0.03087883765659926,49.0,-1.5130630451733638
BIO/USDT:USDT,LONG,2025-08-22T05:00:00+00:00,2025-08-22T06:15:00+00:00,0.18693,0.19759,0.19441197836353094,0.18405231601402658,TP,0.05702669448456628,0.054426694484566274,49.0,2.6669080297437473
BIO/USDT:USDT,LONG,2025-08-22T06:15:00+00:00,2025-08-22T06:30:00+00:00,0.19759,0.19436,0.20466533392816377,0.194868717719937,SL,-0.016346981122526357,-0.01894698112252636,49.0,-0.9284020750037916
BIO/USDT:USDT,LONG,2025-08-22T06:30:00+00:00,2025-08-22T06:55:00+00:00,0.19436,0.20322,0.2016825789505014,0.19154362348057638,TP,0.04558551142210335,0.04298551142210334,49.0,2.106290059683064
BIO/USDT:USDT,LONG,2025-08-22T06:55:00+00:00,2025-08-22T07:20:00+00:00,0.20322,0.19823,0.2115599206659958,0.20001233820538625,SL,-0.024554669815963104,-0.027154669815963102,49.0,-1.330578820982192
FLOCK/USDT:USDT,LONG,2025-08-22T04:25:00+00:00,2025-08-22T07:25:00+00:00,0.28605,0.27869,0.3019667428625138,0.2799281758221101,SL,-0.0257297675231604,-0.028329767523160403,49.0,-1.3881586086348596
BIO/USDT:USDT,LONG,2025-08-22T07:20:00+00:00,2025-08-22T07:35:00+00:00,0.19823,0.18792,0.20770982361858073,0.19458391399285355,SL,-0.05201029107602273,-0.054610291076022735,49.0,-2.675904262725114
FLOCK/USDT:USDT,LONG,2025-08-22T07:25:00+00:00,2025-08-22T08:25:00+00:00,0.27869,0.27039,0.2893678017472811,0.27458315317412263,SL,-0.029782195270730828,-0.03238219527073083,49.0,-1.5867275682658106
GOR/USDT:USDT,LONG,2025-08-22T08:25:00+00:00,2025-08-22T08:30:00+00:00,0.01385,0.01341,0.01415649331478891,0.013732117955850418,SL,-0.03176895306859202,-0.03436895306859202,49.0,-1.6840787003610092
