symbol,bars,equity_end_realized,realized_pnl,return_pct,trades,win_rate_pct,profit_factor,mdd_realized_pct,mdd_mtm_pct
CETUS/USDT:USDT,500,100.34030004488092,0.34030004488091947,0.3403000448809257,40,100.0,0.0,0.0,-2.644517066275705
1000000BABYDOGE/USDT:USDT,500,100.33935421961897,0.3393542196189685,0.3393542196189703,36,100.0,0.0,0.0,-2.114686507014668
WLD/USDC:USDC,500,100.33881777053432,0.3388177705343196,0.3388177705343276,40,100.0,0.0,0.0,-1.5630137650618807
ONG/USDT:USDT,500,100.33818306621224,0.33818306621223826,0.3381830662122276,31,100.0,0.0,0.0,-2.3507047091193827
CELR/USDT:USDT,500,100.3374625211485,0.3374625211484954,0.3374625211485016,33,100.0,0.0,0.0,-1.6823577327320243
BAKE/USDT:USDT,500,100.33652591945746,0.3365259194574577,0.33652591945745325,34,100.0,0.0,0.0,-1.8131121823229446
ALGO/USDT:USDT,500,100.33607281915187,0.33607281915186604,0.33607281915186693,33,100.0,0.0,0.0,-1.0340135161628055
POL/USDT:USDT,500,100.33568419888653,0.33568419888652556,0.3356841988865211,32,100.0,0.0,0.0,-0.9812229191391485
HAEDAL/USDT:USDT,500,100.3342719737154,0.33427197371540274,0.3342719737154054,27,100.0,0.0,0.0,-1.7554461305546252
XRP/USDT:USDT,500,100.33339799459374,0.33339799459373864,0.33339799459373154,30,100.0,0.0,0.0,-1.1057993677042737
VOXEL/USDT:USDT,500,100.33338857682449,0.33338857682448975,0.3333885768245004,35,100.0,0.0,0.0,-1.0449000818850258
SOL/USDC:USDC,500,100.33263273786756,0.33263273786755576,0.3326327378675664,31,100.0,0.0,0.0,-2.629573525514274
XRP/USDC:USDC,500,100.33148758326679,0.3314875832667923,0.3314875832667985,30,100.0,0.0,0.0,-1.0537536071940186
SOPH/USDT:USDT,500,100.32984853871376,0.32984853871376174,0.32984853871376174,32,100.0,0.0,0.0,-1.09045072920183
PUMPBTC/USDT:USDT,500,100.32901685928489,0.32901685928489144,0.3290168592848808,36,100.0,0.0,0.0,-3.021490111726567
DMC/USDT:USDT,500,100.32870347888326,0.3287034788832557,0.32870347888325213,37,100.0,0.0,0.0,-1.772364301742582
VELVET/USDT:USDT,500,100.3285313733792,0.32853137337920657,0.3285313733792039,35,100.0,0.0,0.0,-2.1779940753753073
KAITO/USDC:USDC,500,100.32835252197081,0.3283525219708139,0.32835252197080944,39,100.0,0.0,0.0,-1.5250619900878934
ZIL/USDT:USDT,500,100.32760707448926,0.32760707448926496,0.32760707448926674,28,100.0,0.0,0.0,-1.1854198001233975
IP/USDC:USDC,500,100.32663049170168,0.32663049170167824,0.3266304917016738,22,100.0,0.0,0.0,-1.223943516728462
ENJ/USDT:USDT,500,100.32440171683152,0.32440171683151675,0.32440171683152386,36,100.0,0.0,0.0,-1.43350572095142
BROCCOLI/USDT:USDT,500,100.32419110407415,0.32419110407414564,0.3241911040741563,37,100.0,0.0,0.0,-1.5708713285221876
MUBARAK/USDT:USDT,500,100.32323957229464,0.3232395722946393,0.3232395722946313,33,100.0,0.0,0.0,-2.643049120049697
OP/USDT:USDT,500,100.32312318569579,0.3231231856957919,0.3231231856957839,35,100.0,0.0,0.0,-1.903494483695078
AAVE/USDT:USDT,500,100.32296745852318,0.32296745852318054,0.3229674585231823,35,100.0,0.0,0.0,-3.4317475510373714
AEVO/USDC:USDC,500,100.3226940790808,0.3226940790808044,0.3226940790808097,38,100.0,0.0,0.0,-2.3872110807548435
SUPER/USDT:USDT,500,100.32166686840934,0.3216668684093378,0.32166686840933156,35,100.0,0.0,0.0,-0.8842017301431171
SAHARA/USDT:USDT,500,100.32110090658277,0.321100906582771,0.3211009065827719,35,100.0,0.0,0.0,-1.7586778944462003
DOGS/USDT:USDT,500,100.3208492865901,0.3208492865901036,0.32084928659010803,33,100.0,0.0,0.0,-5.238611738861528
SNX/USDT:USDT,500,100.32077743466637,0.3207774346663683,0.3207774346663639,32,100.0,0.0,0.0,-2.5237292997689518
AAVE/USDC:USDC,500,100.3200225179685,0.32002251796849635,0.320022517968499,34,100.0,0.0,0.0,-3.4113344614595276
