symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,fees_paid,realized_pnl
1000000BOB/USDT:USDT,LONG,2025-09-08T05:30:00+00:00,2025-09-08T08:45:00+00:00,0.05479,0.054520839913212236,0.0558511118806056,0.054520839913212236,SL,-0.004912576871468552,-0.007512576871468552,2.2,0.0044,-0.016527669117230814
NMR/USDT:USDT,LONG,2025-09-08T03:35:00+00:00,2025-09-08T08:55:00+00:00,19.177,18.64452,21.276200000000003,18.64452,SL,-0.027766595400740453,-0.03036659540074045,2.2,0.0044,-0.06680650988162899
A2Z/USDT:USDT,LONG,2025-09-08T04:40:00+00:00,2025-09-08T09:05:00+00:00,0.005983,0.006150012895138112,0.006150012895138112,0.005940635753428381,TP,0.027914573815495957,0.025314573815495955,2.2,0.0044,0.05569206239409111
ATOM/USDT:USDT,LONG,2025-09-08T04:05:00+00:00,2025-09-08T09:20:00+00:00,4.484,4.535250000000001,4.535250000000001,4.470999999999999,TP,0.011429527207850435,0.008829527207850435,2.2,0.0044,0.019424959857270958
1000CAT/USDT:USDT,LONG,2025-09-08T04:50:00+00:00,2025-09-08T09:20:00+00:00,0.007412,0.0075678366298073335,0.0075678366298073335,0.007372470708536676,TP,0.021024909580050374,0.018424909580050372,2.2,0.0044,0.04053480107611082
1000XEC/USDT:USDT,LONG,2025-09-08T05:35:00+00:00,2025-09-08T09:20:00+00:00,0.01955,0.019757264580143367,0.019757264580143367,0.019497425569914854,TP,0.010601768805287265,0.008001768805287265,2.2,0.0044,0.017603891371631986
1000000BOB/USDT:USDT,LONG,2025-09-08T08:45:00+00:00,2025-09-08T09:20:00+00:00,0.0544,0.055147091224853645,0.055147091224853645,0.05421049393320785,TP,0.013733294574515588,0.011133294574515588,2.2,0.0044,0.024493248063934294
1000CAT/USDT:USDT,LONG,2025-09-08T09:20:00+00:00,2025-09-08T09:35:00+00:00,0.007591,0.00756039113397443,0.0077116695679854165,0.00756039113397443,SL,-0.0040322574134592955,-0.006632257413459295,2.2,0.0044,-0.01459096630961045
1000000BOB/USDT:USDT,LONG,2025-09-08T09:20:00+00:00,2025-09-08T09:50:00+00:00,0.05515,0.05494149087452676,0.05597200712926951,0.05494149087452676,SL,-0.0037807638345102182,-0.006380763834510218,2.2,0.0044,-0.01403768043592248
SAPIEN/USDT:USDT,LONG,2025-09-08T09:55:00+00:00,2025-09-08T10:00:00+00:00,0.29201,0.2861940701504901,0.3149381849836448,0.2861940701504901,SL,-0.019916885892640335,-0.022516885892640337,2.2,0.0044,-0.049537148963808744
A/USDT:USDT,LONG,2025-09-08T05:40:00+00:00,2025-09-08T10:05:00+00:00,0.46751,0.4708765164177229,0.4708765164177229,0.4666560543720898,TP,0.007200950605811422,0.004600950605811422,2.2,0.0044,0.010122091332785129
1000BONK/USDT:USDT,LONG,2025-09-08T08:20:00+00:00,2025-09-08T10:05:00+00:00,0.02187,0.022318311546356467,0.022318311546356467,0.0217562819492169,TP,0.020498927588315813,0.017898927588315815,2.2,0.0044,0.039377640694294794
FARTCOIN/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T10:10:00+00:00,0.7624,0.8042200000000004,0.8042200000000004,0.7517919999999999,TP,0.054853095487933386,0.05225309548793338,2.2,0.0044,0.11495681007345344
SPK/USDT:USDT,LONG,2025-09-08T09:55:00+00:00,2025-09-08T10:15:00+00:00,0.06859,0.06770069737875134,0.07209590456453796,0.06770069737875134,SL,-0.0129654850743353,-0.0155654850743353,2.2,0.0044,-0.034244067163537666
1000CAT/USDT:USDT,LONG,2025-09-08T09:35:00+00:00,2025-09-08T10:20:00+00:00,0.007551,0.007670436749585992,0.007670436749585992,0.0075207038488855045,TP,0.015817342019069248,0.013217342019069248,2.2,0.0044,0.02907815244195235
DEGO/USDT:USDT,LONG,2025-09-08T10:00:00+00:00,2025-09-08T10:20:00+00:00,1.3623,1.352651297926962,1.4003381524033234,1.352651297926962,SL,-0.007082655856300395,-0.009682655856300395,2.2,0.0044,-0.02130184288386087
MYX/USDT:USDT,LONG,2025-09-08T09:55:00+00:00,2025-09-08T10:30:00+00:00,4.50463,4.952093166079239,4.952093166079239,4.391127148116485,TP,0.09933405542280703,0.09673405542280702,2.2,0.0044,0.21281492193017548
