ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml,score
2025-09-16T20:23:23,strategy_params.sl_atr_mult,0.51,128.745543,1.56468,-2.556,10.237,1059,2.8056907653808594,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p51.yaml,86.706703
2025-09-16T20:23:26,strategy_params.sl_atr_mult,0.53,129.53389,1.592598,-2.361,10.523,1037,2.97922682762146,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p53.yaml,89.26006600000001
2025-09-16T20:23:29,strategy_params.sl_atr_mult,0.55,128.688156,1.587625,-2.365,10.25,1018,3.0534069538116455,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p55.yaml,86.989656
2025-09-16T20:23:32,min-atr,0.01,132.088264,1.59083,-2.135,11.429,1612,3.242558479309082,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p01.yaml,96.32322400000001
2025-09-16T20:23:36,min-atr,0.012,132.66639,1.632741,-2.069,11.579,1405,3.105707883834839,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p012.yaml,98.15428200000001
2025-09-16T20:23:39,min-atr,0.014,130.827132,1.594811,-2.072,10.959,1293,3.002185583114624,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p014.yaml,92.75986400000001
2025-09-16T20:23:39,min-atr,0.015,133.250394,1.684305,-1.828,11.886,1197,2.358644485473633,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p015.yaml,100.89205399999999
2025-09-16T20:23:42,min-atr,0.016,132.237083,1.682185,-1.847,11.981,1136,3.109555244445801,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p016.yaml,100.328303
2025-09-16T20:23:45,min-atr,0.018,132.562129,1.77308,-2.156,12.52,985,2.8934710025787354,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p018.yaml,104.439089
2025-09-16T20:23:47,min-atr,0.02,131.895063,1.848831,-2.213,12.983,832,2.691129684448242,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p02.yaml,106.996035
2025-09-16T20:23:50,min-atr,0.022,129.857621,1.888227,-2.507,12.867,713,2.6366918087005615,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s3_rays_min-atr_0p022.yaml,104.85134500000001
2025-09-16T20:23:53,min-mom,0.04,130.610526,1.766966,-2.274,12.328,870,2.9217259883880615,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p04.yaml,101.454118
2025-09-16T20:23:55,min-mom,0.044,129.887266,1.746443,-2.274,12.108,866,2.5065903663635254,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p044.yaml,99.38458200000002
2025-09-16T20:23:58,min-mom,0.048,129.976945,1.755626,-2.274,12.183,861,2.638326644897461,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p048.yaml,99.959457
2025-09-16T20:24:01,min-mom,0.052,130.407264,1.767718,-2.274,12.362,859,2.8663294315338135,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p052.yaml,101.42988
2025-09-16T20:24:04,min-mom,0.056,130.622116,1.783802,-2.273,12.454,850,3.2572295665740967,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p056.yaml,102.29774
2025-09-16T20:24:07,min-mom,0.06,131.411643,1.816952,-2.213,12.765,844,3.11286997795105,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p06.yaml,105.040067
2025-09-16T20:24:07,min-mom,0.064,131.895063,1.848831,-2.213,12.983,832,2.691129684448242,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p064.yaml,106.996035
2025-09-16T20:24:10,min-mom,0.068,131.016781,1.83979,-2.296,12.725,815,3.082768678665161,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p068.yaml,104.71926100000002
2025-09-16T20:24:13,min-mom,0.072,131.191009,1.857377,-2.296,12.819,803,3.0552072525024414,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p072.yaml,105.574533
2025-09-16T20:24:17,min-mom,0.076,131.63997,1.882185,-2.269,13.03,798,3.164965867996216,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s4_rays_min-mom_0p076.yaml,107.37619
