symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,realized_pnl
API3/USDT:USDT,SHORT,2025-08-19T15:15:00+00:00,2025-08-20T01:10:00+00:00,1.3635,1.2454,1.2482724515364247,1.401626762359271,TP,0.08661532819948653,0.08401532819948652,80.0,6.721226255958922
USELESS/USDT:USDT,SHORT,2025-08-20T01:10:00+00:00,2025-08-20T01:40:00+00:00,0.2705,0.2738,0.2615116146727155,0.27347409808623385,SL,-0.012199630314232789,-0.014799630314232788,80.0,-1.1839704251386232
MEME/USDT:USDT,LONG,2025-08-20T01:50:00+00:00,2025-08-20T03:15:00+00:00,0.002121,0.002175,0.0021725661421641376,0.002103937673548631,TP,0.025459688826025364,0.022859688826025362,80.0,1.828775106082029
MEME/USDT:USDT,LONG,2025-08-20T03:15:00+00:00,2025-08-20T08:25:00+00:00,0.002175,0.002255,0.0022420260895603676,0.0021528222497778195,TP,0.036781609195402395,0.03418160919540239,80.0,2.7345287356321912
TAI/USDT:USDT,LONG,2025-08-20T08:25:00+00:00,2025-08-20T09:55:00+00:00,0.06426,0.06366,0.06587061065631565,0.06372707735636614,SL,-0.009337068160597624,-0.011937068160597624,80.0,-0.95496545284781
GRASS/USDT:USDT,LONG,2025-08-20T09:55:00+00:00,2025-08-20T10:05:00+00:00,0.8139,0.8066,0.8339793106735373,0.8072561104389031,SL,-0.008969160830568833,-0.011569160830568833,80.0,-0.9255328664455066
REX/USDT:USDT,LONG,2025-08-20T10:25:00+00:00,2025-08-20T10:50:00+00:00,0.04045,0.03983,0.04225957053690655,0.039851245042935336,SL,-0.015327564894932076,-0.01792756489493208,80.0,-1.4342051915945664
BIO/USDT:USDT,LONG,2025-08-20T10:50:00+00:00,2025-08-20T11:15:00+00:00,0.14396,0.14928,0.14905616222130488,0.14227376985324472,TP,0.03695470964156704,0.03435470964156703,80.0,2.7483767713253626
BIO/USDT:USDT,LONG,2025-08-20T11:15:00+00:00,2025-08-20T12:00:00+00:00,0.14928,0.15687,0.15522367658497008,0.14731334230644372,TP,0.050844051446945426,0.04824405144694542,80.0,3.859524115755634
BIO/USDT:USDT,LONG,2025-08-20T12:00:00+00:00,2025-08-20T14:55:00+00:00,0.15687,0.16641,0.16623970577413394,0.15376972970708805,TP,0.060814687320711366,0.05821468732071136,80.0,4.6571749856569085
BIO/USDT:USDT,LONG,2025-08-20T14:55:00+00:00,2025-08-20T15:40:00+00:00,0.16641,0.15853,0.17684144714277275,0.16295841822481785,SL,-0.04735292350219337,-0.04995292350219337,80.0,-3.99623388017547
REX/USDT:USDT,LONG,2025-08-20T15:40:00+00:00,2025-08-20T15:45:00+00:00,0.04188,0.04118,0.043697310013542115,0.04127868418669563,SL,-0.016714422158548216,-0.019314422158548214,80.0,-1.5451537726838571
USELESS/USDT:USDT,LONG,2025-08-20T15:45:00+00:00,2025-08-20T16:35:00+00:00,0.2958,0.2878,0.31089399016318736,0.2908056650195336,SL,-0.027045300878972302,-0.029645300878972304,80.0,-2.371624070317784
HOUSE/USDT:USDT,LONG,2025-08-20T16:35:00+00:00,2025-08-21T02:10:00+00:00,0.01939,0.01859,0.020993867362979098,0.018859308593131917,SL,-0.04125838060856122,-0.043858380608561225,80.0,-3.508670448684898
BB/USDT:USDT,SHORT,2025-08-21T02:10:00+00:00,2025-08-21T03:00:00+00:00,0.12419,0.12506,0.12156382342243241,0.12505895548522455,SL,-0.007005394959336579,-0.009605394959336579,80.0,-0.7684315967469263
FLOCK/USDT:USDT,LONG,2025-08-21T03:00:00+00:00,2025-08-21T03:40:00+00:00,0.24231,0.26242,0.25614718957299487,0.23773151815599436,TP,0.0829928603854566,0.0803928603854566,80.0,6.431428830836527
FLOCK/USDT:USDT,LONG,2025-08-21T03:40:00+00:00,2025-08-21T03:50:00+00:00,0.26242,0.25569,0.27887678404610067,0.25697474057298136,SL,-0.025645911134822095,-0.028245911134822096,80.0,-2.259672890785768
1000CAT/USDT:USDT,LONG,2025-08-21T04:00:00+00:00,2025-08-21T04:25:00+00:00,0.008676,0.008481,0.008930153533957031,0.008591905080675982,SL,-0.022475795297371946,-0.025075795297371944,80.0,-2.0060636237897556
NEO/USDC:USDC,LONG,2025-08-21T04:30:00+00:00,2025-08-21T06:00:00+00:00,6.695,6.646,6.834216920631101,6.648935577732357,SL,-0.0073188946975355305,-0.00991889469753553,80.0,-0.7935115758028424
API3/USDT:USDT,LONG,2025-08-21T06:00:00+00:00,2025-08-21T06:50:00+00:00,1.5536,1.5278,1.6263384475881872,1.5295321313127324,SL,-0.016606591143151418,-0.019206591143151416,80.0,-1.5365272914521133
KOMA/USDT:USDT,LONG,2025-08-21T06:50:00+00:00,2025-08-21T07:45:00+00:00,0.02668,0.02753,0.027494514811295605,0.02641049142273307,TP,0.031859070464767617,0.02925907046476761,80.0,2.340725637181409
KOMA/USDT:USDT,LONG,2025-08-21T07:45:00+00:00,2025-08-21T08:50:00+00:00,0.02753,0.02912,0.02848101843271487,0.027215324783292874,TP,0.057755176171449374,0.05515517617144937,80.0,4.41241409371595
